incident_day_of_week,incident_hour,zipcode,police_district,crime,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
Friday,0,94158.0,Mission,5,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,0,94158.0,Out of SF,14,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,0,94158.0,Southern,34,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,1,94102.0,Mission,8,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,1,94102.0,Northern,16,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,1,94102.0,Southern,5,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,1,94102.0,Tenderloin,8,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,1,94103.0,Mission,1,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,1,94103.0,Out of SF,11,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,1,94103.0,Southern,45,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,1,94103.0,Tenderloin,27,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,1,94104.0,Central,13,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,1,94105.0,Central,1,5846.0,15826.0,4601.0,3586.0,740900.0,163949.0
Friday,1,94105.0,Southern,14,5846.0,15826.0,4601.0,3586.0,740900.0,163949.0
Friday,1,94107.0,Bayview,2,26599.0,14845.0,15141.0,13736.0,719700.0,114439.0
Friday,1,94108.0,Central,35,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,1,94108.0,Tenderloin,1,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,1,94109.0,Central,13,55984.0,47129.0,37182.0,33342.0,723200.0,60722.0
Friday,1,94109.0,Northern,26,55984.0,47129.0,37182.0,33342.0,723200.0,60722.0
Friday,1,94110.0,Bayview,8,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,1,94110.0,Ingleside,12,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,1,94110.0,Mission,58,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,1,94111.0,Central,10,3713.0,10791.0,2811.0,2365.0,882000.0,89722.0
Friday,1,94111.0,Mission,1,3713.0,10791.0,2811.0,2365.0,882000.0,89722.0
Friday,1,94112.0,Ingleside,10,79407.0,23606.0,23081.0,21975.0,602400.0,71625.0
Friday,1,94114.0,Mission,14,31124.0,21837.0,17634.0,16281.0,1000001.0,114689.0
Friday,1,94114.0,Northern,1,31124.0,21837.0,17634.0,16281.0,1000001.0,114689.0
Friday,1,94114.0,Park,2,31124.0,21837.0,17634.0,16281.0,1000001.0,114689.0
Friday,1,94115.0,Northern,7,33021.0,29596.0,18884.0,17289.0,965800.0,76952.0
Friday,1,94116.0,Taraval,10,43698.0,16901.0,16283.0,15445.0,734400.0,83407.0
Friday,1,94117.0,Mission,8,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
